Player,Age,?Games,?Games_Started,?Minutes_Played_Per_Game,?Field_Goals_Per_Game,?Field_Goal_Attempts_Per_Game,?Field_Goal_Percentage,?3-Point_Field_Goals_Per_Game,?3-Point_Field_Goal_Attempts_Per_Game,?FG_p_on_3-Pt_FGAs.,?2-Point_Field_Goals_Per_Game,?2-Point_Field_Goal_Attempts_Per_Game,?FG_p_on_2-Pt_FGAs.,?Effective_Field_Goal_Percentage,?Free_Throws_Per_Game,?Free_Throw_Attempts_Per_Game,?Free_Throw_Percentage,?Offensive_Rebounds_Per_Game,?Defensive_Rebounds_Per_Game,?Total_Rebounds_Per_Game,?Assists_Per_Game,?Steals_Per_Game,?Blocks_Per_Game,?Turnovers_Per_Game,?Personal_Fouls_Per_Game,?Points_Per_Game,?Minutes_Played,?Player_Efficiency_Rating,?True_Shooting_Percentage,3-Point_Attempt_Rate,?Free_Throw_Attempt_Rate,?Offensive_Rebound_Percentage,?Defensive_Rebound_Percentage,?Total_Rebound_Percentage,?Assist_Percentage,?Steal_Percentage,?Block_Percentage,?Turnover_Percentage,?Usage_Percentage,?Offensive_Win_Shares,?Defensive_Win_Shares,?Win_Shares,?Win_Shares_Per_48_Minutes,?Offensive_Box_Plus/Minus,?Defensive_Box_Plus/Minus,?Box_Plus/Minus,?Value_over_Replacement_Player,Total_salary
Aaron Gordon\gordoaa01,22,58,57,32.9,6.5,14.9,0.434,2,5.9,0.336,4.5,9,0.497,0.5,2.7,3.9,0.698,1.5,6.4,7.9,2.3,1,0.8,1.8,1.9,17.6,1909,16.5,0.53,0.395,0.26,5,21.5,13.2,11.7,1.5,1.9,10,24.7,0.9,2,2.9,0.072,0,0,0,1,21590909
Abdel Nader\naderab01,24,48,1,10.9,1,3.1,0.336,0.5,1.4,0.354,0.6,1.8,0.321,0.413,0.5,0.8,0.59,0.3,1.2,1.5,0.5,0.3,0.2,0.7,0.9,3,522,5.1,0.439,0.436,0.262,2.8,12,7.4,7.1,1.4,1.6,17,17.1,-0.9,0.8,-0.1,-0.014,-5.9,0.3,-5.6,-0.5,1378242
Al Horford\horfoal01,31,72,72,31.6,5.1,10.5,0.489,1.3,3.1,0.429,3.8,7.3,0.514,0.553,1.3,1.7,0.783,1.4,5.9,7.4,4.7,0.6,1.1,1.8,1.9,12.9,2277,17.6,0.575,0.3,0.159,5,20.2,12.7,23.6,0.9,2.9,14.1,18.4,4,3.8,7.8,0.165,1.1,2.9,4,3.5,28928710
Al Jefferson\jeffeal01,33,36,1,13.4,3.1,5.8,0.534,0,0.1,0,3.1,5.7,0.541,0.534,0.8,1,0.833,0.8,3.1,4,0.8,0.4,0.6,0.6,1.8,7,484,20.2,0.563,0.014,0.173,7,26.2,16.7,10,1.7,4.2,8.6,22.5,0.8,0.8,1.6,0.158,-1.7,1.3,-0.5,0.2,4000000
Alec Burks\burksal01,26,64,1,16.5,2.7,6.5,0.411,0.7,2.2,0.331,1.9,4.3,0.452,0.467,1.7,1.9,0.863,0.3,2.7,3,1,0.6,0.1,0.9,1.2,7.7,1059,13.1,0.527,0.343,0.3,2.1,18.4,10.3,10,1.8,0.6,11.4,22.5,0.2,1.6,1.9,0.084,-2.5,-0.3,-2.8,-0.2,11536515
?lex Abrines\abrinal01,24,75,8,15.1,1.5,3.9,0.395,1.1,2.9,0.38,0.4,0.9,0.443,0.54,0.5,0.6,0.848,0.3,1.2,1.5,0.4,0.5,0.1,0.3,1.7,4.7,1134,9,0.567,0.759,0.158,2.5,8.9,5.6,3.4,1.7,0.6,7.4,12.7,1.3,1,2.2,0.094,-0.5,-1.7,-2.2,-0.1,5455236
Alex Len\lenal01,24,69,13,20.2,3.1,5.5,0.566,0,0,0.333,3.1,5.4,0.568,0.567,2.3,3.3,0.684,2.5,5,7.5,1.2,0.4,0.9,1.1,2.3,8.5,1395,19.4,0.612,0.008,0.611,13.2,26.7,19.8,9.1,0.9,3.5,14,17,3.2,1.3,4.5,0.154,-0.3,1.1,0.8,1,4350000
Al-Farouq Aminu\aminual01,27,69,67,30,3.3,8.4,0.395,1.8,4.9,0.369,1.5,3.5,0.432,0.503,0.9,1.2,0.738,1.4,6.2,7.6,1.2,1.1,0.6,1.1,2,9.3,2072,12,0.522,0.582,0.137,5.2,22.3,13.8,5.8,1.9,1.6,11.3,14.8,0.9,3.2,4.2,0.097,-0.8,1.9,1.1,1.6,6957105
Alfonzo McKinnie\mckinal01,25,14,0,3.8,0.6,1.1,0.533,0.2,0.6,0.333,0.4,0.4,0.833,0.633,0.1,0.2,0.667,0.1,0.4,0.5,0.1,0.1,0.1,0.2,0.6,1.5,53,10.1,0.643,0.6,0.2,2.2,12.4,7.4,2.7,0.9,1.5,15.5,16,0,0.1,0.1,0.084,-1.3,-1.8,-3.1,0,1349383
Allen Crabbe\crabbal01,25,75,68,29.3,4.5,11,0.407,2.7,7.1,0.378,1.8,3.9,0.461,0.529,1.5,1.8,0.852,0.4,3.9,4.3,1.6,0.6,0.5,1,2.2,13.2,2197,12.3,0.558,0.643,0.163,1.3,14.4,7.8,8.4,1,1.2,8.1,19,1.8,1.4,3.2,0.07,0.4,-1.2,-0.8,0.7,18500000
